term,category,covered,in_pronunciation_subset,phoneme_source,phoneme,carrier_sentence,before_clip,after_clip,asr_proxy_before_transcript,asr_proxy_before_correct,asr_proxy_after_transcript,asr_proxy_after_correct,human_score_before,human_score_after,delta_asr_proxy
Ananya Sharma,name,False,True,hand_authored_from_rime_alphabet_docs,{0xn1any0x S1arm0x},The next word is Ananya Sharma.,clips\at1\before\ananya_sharma.mp3,clips\at1\after\ananya_sharma.mp3, The next word is Ananya Sharma.,True, The next word is Ananya Sharma.,True,NOT_COLLECTED,NOT_COLLECTED,0
Dr. Raghunathan,clinician,False,True,hand_authored_from_rime_alphabet_docs,{d1akt0R r0ag0Un1aT0xn},The next word is Dr. Raghunathan.,clips\at1\before\dr_raghunathan.mp3,clips\at1\after\dr_raghunathan.mp3, The next word is Dr. Regunathan.,False, The next word is Dr. Raghunathan.,True,NOT_COLLECTED,NOT_COLLECTED,1
Dr. Mukherjee,clinician,False,True,hand_authored_from_rime_alphabet_docs,{d1akt0R m0Uk0RJ1i},The next word is Dr. Mukherjee.,clips\at1\before\dr_mukherjee.mp3,clips\at1\after\dr_mukherjee.mp3, The next word is Dr. Mukherjee.,True, The next word is Dr. Mukherjee.,True,NOT_COLLECTED,NOT_COLLECTED,0
Metformin,medication,False,True,phase0_verified_real,{m1Etf1OrmIn},The next word is Metformin.,clips\at1\before\metformin.mp3,clips\at1\after\metformin.mp3, The next word is met for men.,False, The next word is metfoiemen.,False,NOT_COLLECTED,NOT_COLLECTED,0
Levothyroxine,medication,False,True,hand_authored_from_rime_alphabet_docs,{l2iv0oT0Yr1aks0In},The next word is Levothyroxine.,clips\at1\before\levothyroxine.mp3,clips\at1\after\levothyroxine.mp3, The next word is levothyroxine.,True, The next word is levothyroxine.,True,NOT_COLLECTED,NOT_COLLECTED,0
Atorvastatin,medication,True,True,hand_authored_from_rime_alphabet_docs,{0xt1Rv0xst1@t0In},The next word is Atorvastatin.,clips\at1\before\atorvastatin.mp3,clips\at1\after\atorvastatin.mp3, The next word is the torvastatin.,False, The next word is a turvastatin.,False,NOT_COLLECTED,NOT_COLLECTED,0
Hydrochlorothiazide,medication,True,True,hand_authored_from_rime_alphabet_docs,{h2Ydr0okl0R0oT1Y0xz2Yd},The next word is Hydrochlorothiazide.,clips\at1\before\hydrochlorothiazide.mp3,clips\at1\after\hydrochlorothiazide.mp3, The next word is hydrochlorothiazide.,True, The next word is hydrochlorothiazide.,True,NOT_COLLECTED,NOT_COLLECTED,0
Salbutamol,medication,False,True,hand_authored_from_rime_alphabet_docs,{s0@lby1ut0xm0al},The next word is Salbutamol.,clips\at1\before\salbutamol.mp3,clips\at1\after\salbutamol.mp3, The next word is salbutimal.,False, The next word is salbutymol.,False,NOT_COLLECTED,NOT_COLLECTED,0
Maple Street Pharmacy,location,True,False,n/a,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,
Repeat prescription,phrase,True,False,n/a,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,
Sixty-day supply,phrase,True,False,n/a,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,
Five hundred milligrams,phrase,True,False,n/a,,,,,,,,,NOT_COLLECTED,NOT_COLLECTED,
