trial,trial_in_mode,mode,cold_or_warm,turn_end_at_s,first_audio_at_s,latency_ms,timed_out,contaminated_readings,candidate_text,timestamp
1,1,off,cold,3.04,9.090666666666667,6050.666666666667,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:58:48.526Z
2,2,off,warm,16.850666666666665,22.861333333333334,6010.666666666669,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:02.293Z
3,3,off,warm,27.021333333333335,33.04,6018.666666666664,false,1,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:12.487Z
4,4,off,warm,36.221333333333334,42.30133333333333,6079.999999999998,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:21.737Z
5,5,off,warm,45.512,51.552,6039.999999999999,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:30.998Z
6,6,off,warm,54.77066666666666,60.26133333333333,5490.66666666667,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:39.706Z
7,7,off,warm,63.461333333333336,68.53066666666666,5069.333333333326,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:47.995Z
8,8,off,warm,71.72,77.12,5400.0000000000055,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T10:59:56.581Z
9,9,off,warm,80.34133333333334,86.01066666666667,5669.333333333327,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription",2026-09-06T11:00:05.483Z
10,10,off,warm,89.21066666666667,94.58133333333333,5370.666666666665,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:14.057Z
11,11,off,warm,97.77066666666667,103.352,5581.333333333333,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:22.842Z
12,12,off,warm,106.552,111.96,5407.999999999987,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:31.455Z
13,13,off,warm,115.18133333333333,120.66133333333333,5480.000000000004,false,1,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:40.174Z
14,14,off,warm,123.89066666666666,130.38133333333334,6490.666666666683,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:49.902Z
15,15,off,warm,133.592,139.05066666666667,5458.666666666659,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:00:58.578Z
16,16,off,warm,142.352,147.81066666666666,5458.666666666659,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:01:07.334Z
17,17,off,warm,151.04,157.01066666666668,5970.666666666688,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:01:16.544Z
18,18,off,warm,160.18133333333333,165.24,5058.6666666666815,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:01:24.770Z
19,19,off,warm,168.46133333333333,173.49066666666667,5029.333333333341,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:01:33.029Z
20,20,off,warm,176.76,182.552,5792.000000000002,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription",2026-09-06T11:01:42.088Z
21,21,off,warm,2.541333333333333,,,true,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:02:25.514Z
22,22,off,warm,52.49066666666667,56.312,3821.333333333328,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:03:14.536Z
23,23,off,warm,63.62133333333333,69.52,5898.666666666663,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription",2026-09-06T11:03:27.797Z
24,24,off,warm,72.8,78.37066666666666,5570.666666666668,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:03:36.643Z
25,25,off,warm,81.61066666666666,87.54133333333333,5930.666666666667,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:03:45.812Z
26,26,off,warm,90.8,95.792,4992.000000000005,false,1,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:03:54.058Z
27,27,off,warm,99.05066666666667,104.64,5589.3333333333285,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:02.923Z
28,28,off,warm,107.89066666666666,113.94133333333333,6050.6666666666715,false,0,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:12.247Z
29,29,off,warm,117.26133333333334,122.81066666666666,5549.333333333323,false,1,"Hi, I'm here to pick up a refill of my Metformin prescription.",2026-09-06T11:04:21.096Z
